<STATUS> at <TIME> (@100 ns),,a,b,cmd,reset,,flow(exp:act),fhigh(exp:act),cout(exp:act),equal(exp:act),ov(exp:act),sign(exp:act),cb(exp:act),ready(exp:act),can_busy(exp:act),can(exp:act)
SUCCESS at 200 ns,,00000000,00000000,----,1,,00000000:00000000,00000000:00000000,0:0,-:1,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 300 ns,,00000011,00000100,0000,0,,00000111:00000111,00000000:00000000,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 400 ns,,01000001,00000000,1100,0,,00000000:00000000,00000000:00000000,0:0,0:0,0:0,-:0,0:0,0:0,0:0,1:1
SUCCESS at 500 ns,,01000010,00000001,1100,0,,00000000:00000000,00000000:00000000,0:0,0:0,0:0,-:0,0:0,0:0,0:0,1:1
SUCCESS at 600 ns,,01000011,00000010,1100,0,,00000000:00000000,00000000:00000000,0:0,0:0,0:0,-:0,0:0,0:0,0:0,1:1
SUCCESS at 700 ns,,01000100,00000011,1100,0,,00000000:00000000,00000000:00000000,0:0,0:0,0:0,-:0,0:0,0:0,0:0,1:1
SUCCESS at 800 ns,,00000000,00000011,1101,0,,--------:00000000,--------:00000000,0:0,0:0,0:0,-:0,1:1,1:1,0:0,1:1
SUCCESS at 900 ns,,00000000,00000000,1111,0,,--------:01011100,--------:00110110,0:0,1:1,0:0,-:0,1:1,1:1,0:0,1:1
SUCCESS at 1000 ns,,00000000,00000000,1111,0,,--------:01001101,--------:01100101,0:0,1:1,0:0,-:0,1:1,1:1,0:0,1:1
SUCCESS at 1100 ns,,00000000,00000000,1111,0,,--------:10001101,--------:01011110,0:0,1:1,0:0,-:1,1:1,1:1,0:0,1:1
SUCCESS at 1200 ns,,00000000,00000000,1111,0,,11110001:11110001,00011011:00011011,0:0,1:1,0:0,-:1,0:0,0:0,0:0,1:1
SUCCESS at 1300 ns,,00001100,00001101,0000,0,,00011001:00011001,00000000:00000000,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:1
SUCCESS at 1400 ns,,00000000,00000011,1110,0,,--------:00000000,--------:00000000,0:0,0:0,0:0,-:0,0:0,1:1,0:0,1:1
SUCCESS at 1500 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,-:0,0:0,1:1,1:1,1:1
SUCCESS at 1600 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,-:0,0:0,1:1,1:1,1:1
SUCCESS at 1700 ns,,00000000,00000000,1111,0,,--------:01011100,--------:00110110,0:0,1:1,0:0,-:0,1:1,1:1,1:1,1:1
SUCCESS at 1800 ns,,00000000,00000000,1111,0,,--------:01001101,--------:01100101,0:0,1:1,0:0,-:0,1:1,1:1,1:1,1:1
SUCCESS at 1900 ns,,00000000,00000000,1111,0,,--------:10001101,--------:01011110,0:0,1:1,0:0,-:1,1:1,1:1,1:1,1:1
SUCCESS at 2000 ns,,00000000,00000000,1111,0,,11110001:11110001,00011011:00011011,0:0,1:1,0:0,-:1,0:0,0:0,1:1,1:1
SUCCESS at 2100 ns,,00000001,00000001,0000,0,,00000010:00000010,00000000:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
SUCCESS at 2200 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 2300 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 2400 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 2500 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 2600 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 2700 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
SUCCESS at 2800 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 2900 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 3000 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
SUCCESS at 3100 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 3200 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
SUCCESS at 3300 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 3400 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 3500 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 3600 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 3700 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 3800 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
SUCCESS at 3900 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 4000 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
SUCCESS at 4100 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 4200 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 4300 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 4400 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
SUCCESS at 4500 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 4600 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 4700 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 4800 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 4900 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 5000 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
SUCCESS at 5100 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
SUCCESS at 5200 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 5300 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
SUCCESS at 5400 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 5500 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 5600 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 5700 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 5800 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
SUCCESS at 5900 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 6000 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 6100 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
SUCCESS at 6200 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 6300 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 6400 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 6500 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 6600 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
SUCCESS at 6700 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
SUCCESS at 6800 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 6900 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
SUCCESS at 7000 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 7100 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 7200 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 7300 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
SUCCESS at 7400 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 7500 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 7600 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 7700 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 7800 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
SUCCESS at 7900 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
SUCCESS at 8000 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 8100 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
SUCCESS at 8200 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
SUCCESS at 8300 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
SUCCESS at 8400 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
SUCCESS at 8500 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
SUCCESS at 8600 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 8700 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
SUCCESS at 8800 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 8900 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 9000 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 9100 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
SUCCESS at 9200 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
SUCCESS at 9300 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,0:0
SUCCESS at 9400 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
SUCCESS at 9500 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
SUCCESS at 9600 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
SUCCESS at 9700 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
SUCCESS at 9800 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
SUCCESS at 9900 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
SUCCESS at 10000 ns,,00000000,00000000,1111,0,,--------:00000000,--------:00000000,0:0,1:1,0:0,0:0,0:0,0:0,1:1,1:1
